rs-line 2,rs-line 3,time,answer,rs-line 4
男宝,接,2020年11月04日,5110个回答,
男宝,接,2020年09月21日,3732个回答,
男宝,接,2019年01月13日,332个回答,
接,男宝,2020年05月26日,0个回答,49天b超报告
接,男宝,2018年12月09日,112个回答,今天早上5点18分生了一枚，顺产无侧切。。
男宝,接,2019年06月23日,201个回答,
男宝,接,2019年12月12日,279个回答,
接,男宝,2019年08月31日,64个回答,提前五天，剖腹产下9.2斤小王子一枚！
接,男宝,2020年05月10日,0个回答,
男宝,接,2020年05月01日,0个回答,
接,男宝,2020年03月26日,0个回答,孕33周啦个凑好字。。。有没有经验的宝妈帮看看吖😂是小米奇还是小米妮吖
接,男宝,2020年03月21日,0个回答,
男宝,接,2020年02月16日,0个回答,老大男孩，想要个女儿，这一胎好不容易要上，现在四个月查是男孩，他爸不想要，我舍不得流，希望男翻女
接,男宝,2019年11月13日,156个回答,终于卸货了，，6.1出生，6.1两，
男宝,接,2019年10月17日,320个回答,同上
接,男宝,2019年09月29日,26个回答,
男宝,接,2019年09月16日,317个回答,10月9号凌晨1点42分，顺产无侧切无撕裂，六斤半，10月8号晚上11点半开始阵痛，痛程两个多小时😉
男宝,接,2019年08月22日,1个回答,女宝来我这
接,男宝,2019年08月10日,4个回答,查的结果是男孩，老公不想要，头胎就是，很舍不得很无奈呀，有想要宝的来吧
男宝,接,2019年07月17日,3个回答,二胎怀孕后上班一直面对着电脑九小时，平时垃圾食品也吃没少吃，前两天一直担心宝宝会不会有问题，做产检前都有些担心，现在终于放心啦，四维确定是个健康男孩，二胎好奇男女孕早期就用的美国性别测试卡测的也是男孩
男宝,接,2019年06月19日,160个回答,
男宝,接,2019年06月19日,160个回答,
男宝,接,2019年06月08日,262个回答,大宝是女儿，马上4岁了，自从怀上二宝就怕再是女孩，不是我重男轻女，只是受环境的影响也想要儿女双全，经朋友介绍去抽血，今天收到通知如愿儿子，传好运，希望各位都像我一样成功凑好字，怀女儿当年吐的我就不想活
男宝,接,2019年05月11日,12个回答,现在20+了，前几天去查了还是，大宝也是，生了这个就不打算生了。可是真的想要个小公主噢～有没有宝妈是女宝的，又舍不得打的，我想要，凑双胞胎养。
男宝,接,2019年05月08日,37个回答,中午刚做完四维，老公跟着一起进去看的，宝宝很配合，医生说五器长的很漂亮，像个金童😝😝😝，虽然我和老公一直以来都想要女宝宝，不过这是第一胎，男孩女孩都好，平平安安
男宝,接,2019年04月26日,2个回答,
男宝,接,2019年04月23日,43个回答,
接,男宝,2019年04月12日,73个回答,我的预产期是11月29日结果提前了两周38周上午顺利生了一个，早上5点多肚子痛见红赶紧去医院，到了医院医生说羊水有点混浊，建议打点催生针，9点打上宫缩就2分钟一次11点孩子就出生了
男宝,接,2019年03月26日,11个回答,自从怀孕后一直健康，逢贴必因为是二胎，超级希望这胎可以是个小公子，那我的任务就完成了！四个多月找熟人查男女如愿了，确定健康儿子，和早期用的这个性别测血卡一样男孩挺准的，传健康好孕给宝妈们
男宝,接,2019年03月24日,9个回答,
男宝,接,2019年03月24日,4个回答,宝宝们好孕
男宝,接,2019年03月22日,84个回答,
男宝,接,2019年03月16日,84个回答,
男宝,接,2019年02月20日,1个回答,有空会把怀超全症状写下来供各位孕妈做参考😄另外祝各位孕妈想生得想生女宝得女宝心想事成
接,男宝,2019年01月15日,2个回答,双胞胎21+5了
接,男宝,2019年01月14日,2个回答,2018年过了，2019来了，迎宝，儿女双全
男宝,接,2019年01月11日,4个回答,
男宝,接,2019年01月02日,8个回答,
男宝,接,2019年01月02日,3个回答,
接,男宝,2018年12月28日,0个回答,
男宝,男宝,2018年12月25日,2个回答,男宝
男宝,接,2018年11月24日,9个回答,
男宝,接,2018年11月20日,0个回答,大宝是女儿，马上4岁了，自从怀上二宝就怕再是女孩，不是我重男轻女，只是受环境的影响也想要儿女双全，经朋友介绍去抽血，今天收到通知如愿儿子，传好运，希望各位都像我一样成功凑好字，怀女儿当年吐的我就不想活
接,男宝,2018年09月13日,277个回答,预产期5月3号提前十天刨腹男孩一枚😊😊……了那么多终于如愿了！谢菩萨保佑🙏🙏🙏护我儿女健康、平安快乐长大
男宝,接,2018年11月16日,1个回答,自从怀孕后一直健康，逢贴必因为是二胎，超级希望这胎可以是个小公子，那我的任务就完成了！四个多月找熟人查男女如愿了，确定健康儿子，和早期用的这个性别测血卡一样男孩挺准的，传健康好孕给宝妈们
男宝,接,2018年11月15日,1个回答,四个多月找熟人B超产检说是个带把的， 腿中间一个小尖尖发育很好，二胎我也儿女双全凑好。和6周用的性别测血卡测试一样男孩、测试挺准的，传好孕，百百中！
接,男宝,2018年09月27日,22个回答,
接,男宝,2018年11月09日,1个回答,听说发催生贴很灵的，求顺产娘娘显灵，求 马上宫缩 马上阵痛 马上发动 马上见红 大人孩子都平安 顺产无侧切无撕裂！，🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏求现在强力发动，求马上见红，求马上宫缩🙏🙏🙏🙏🙏🙏
男宝,接,2018年11月04日,5个回答,自从怀孕后一直健康，逢贴必因为是二胎，超级希望这胎可以是个小公子，那我的任务就完成了！四个多月找熟人查男女如愿了，确定健康儿子，和早期用的测试卡一样男孩挺准的，传健康好孕给宝妈们，二胎儿女
接,接,2018年10月24日,0个回答,
接,男宝,2018年10月23日,4个回答,都来女宝，给我！
男宝,接,2018年10月21日,1个回答,
男宝,接,2018年10月19日,1个回答,
接,男宝,2018年03月24日,1个回答,
男宝,接,2018年09月30日,38个回答,7周确认大胖小子一枚，要的来，孕50天时照了B超确认都有了胎心胎芽，一切都好，心里感觉轻松了一大载，等着结果出来后就抽皿去化验，检测结果也出来了有y确认了儿子，感觉好像预料之中的似的一切都很顺利，祝
接,男宝,2018年09月22日,2个回答,四维照片和宝宝出生一样吗？
男宝,接,2018年09月20日,6个回答,
男宝,接,2018年09月17日,22个回答,
接,男宝,2018年09月02日,1个回答,
男宝,接,2018年08月22日,3个回答,
男宝,接,2018年08月21日,0个回答,
接,男宝,2018年08月20日,19个回答,
接,男宝,2018年08月20日,0个回答,
接,男宝,2018年08月19日,0个回答,7.26的预产期  没有检查过性别  8.2下午17.29顺产一枚好孕咯
接,男宝,2018年08月01日,0个回答,
接,男宝,2018年07月31日,6个回答,六斤四两宝😊刨腹产
接,男宝,2018年07月09日,1个回答,
接,男宝,2018年07月06日,2个回答,要个小公主的心愿彻底破灭，不想那么多了只要宝宝健康聪明足月出生就好，要宝的来吧！
接,男宝,2018年07月02日,0个回答,
接,男宝,2018年06月28日,21个回答,
接,男宝,2018年06月19日,0个回答,诚健康已在腹中，跪求菩萨保佑孕期一切顺利！🙏🙏🙏
接,男宝,2018年06月17日,130个回答,同上
男宝,接,2018年05月25日,2个回答,年后就开始备孕， 准备了三个月，二宝就来了，心情一下高兴一下又紧张！因为有个乖巧的小公主，心底很希望这个小王子，闲着没事各种套症状，对清宫表，隔骨算～～老公都觉得我有些神经质50天b超，宝宝发育得很好
接,男宝,2018年05月12日,5个回答,今天半夜肚子疼  今天下午四点43生了5斤
接,男宝,2018年05月05日,1个回答,男宝
接,男宝,2018年05月03日,0个回答,
男宝,接,2018年04月25日,2个回答,
男宝,接,2018年04月25日,1个回答,因为所有检查都做了 没啥事 新生说 怕回家孩子不适应温度 不怎么吃奶 只想睡觉 宝妈们觉得有问题没
男宝,接,2018年04月25日,2个回答,😃
接,男宝,2018年04月24日,2个回答,
接,男宝,2018年04月18日,3个回答,
接,男宝,2018年04月18日,2个回答,
接,男宝,2018年04月11日,5个回答,
接,男宝,2018年04月03日,2个回答,
接,男宝,2018年03月30日,2个回答,
接,男宝,2018年03月29日,4个回答,24周B超心律142
接,男宝,2018年03月24日,2个回答,帮忙看看是男孩还是女孩谢谢😘😘
接,男宝,2018年03月20日,0个回答,
接,男宝,2018年03月20日,0个回答,
接,男宝,2018年03月18日,1个回答,听说发催生贴很灵的，求顺产娘娘显灵，求 马上宫缩 马上阵痛 马上发动 马上见红 大人孩子都平安 顺产无侧切无撕裂！，🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏求现在强力发动，求马上见红，求马上宫缩🙏🙏🙏🙏🙏🙏
接,男宝,2018年03月17日,1个回答,
接,男宝,2018年03月15日,0个回答,
接,男宝,2018年03月13日,1个回答,
男宝,接,2018年03月08日,0个回答,今天中午12:26分剖宫产下我儿子。怀这个宝宝的过程很艰难，所以感觉有人说就是难宝是有道理的。怀孕初期有出血，怀孕中期肾盂分离，孕晚期血糖又高。总之每个阶段都有点问题。但是结果挺好，人生圆满！
接,男宝,2018年03月07日,1个回答,
接,男宝,2018年03月04日,0个回答,
接,男宝,2018年03月01日,2个回答,
男宝,接,2018年02月27日,1个回答,
男宝,接,2018年02月05日,0个回答,
男宝,接,2018年02月02日,2个回答,
接,男宝,2018年02月01日,5个回答,
男宝,接,2018年01月22日,0个回答,我这是二胎，健康女宝，谁会看帮忙看下，谢谢
男宝,接,2018年01月20日,0个回答,
男宝,接,2018年01月20日,0个回答,
接,男宝,2018年01月17日,0个回答,
接,男宝,2018年01月16日,0个回答,
男宝,接,2017年11月21日,1个回答,顺产侧切，那疼的滋味简直不敢想象
接,男宝,2018年01月11日,0个回答,
接,男宝,2018年01月11日,0个回答,
男宝,接,2018年01月05日,5个回答,
接,男宝,2017年12月21日,3个回答,
男宝,接,2017年12月12日,0个回答,
接,男宝,2017年12月01日,1个回答,
接,接,2017年11月06日,0个回答,接
接,男宝,2017年11月06日,0个回答,
接,男宝,2017年11月03日,1个回答,
接,男宝,2017年10月20日,0个回答,
男宝,接,2017年10月18日,1个回答,小宝贝  爸爸妈妈 还有你姐姐都很期待你的到来哦😚😚
男宝,接,2017年10月17日,0个回答,有没有宝妈成功男翻女的啊，亲
男宝,接,2017年10月14日,17个回答,
男宝,接,2017年10月06日,0个回答,
男宝,接,2017年10月01日,3个回答,
接,男宝,2017年09月25日,0个回答,断奶第一月没避孕。不知道怀孕没，今天来大姨妈，没有来。各位宝妈的好孕。跪求！
男宝,接,2015年08月25日,1个回答,宝妈们你们是怎么给把尿呢？是让宝宝躺着用小瓶子？还是抱起来往小尿盆里尿？我家宝之前都是躺着用瓶子'可是他特不老实总把瓶子踢偏了'抱起来尿也尿不到尿盆
接,,2020年10月30日,0个回答,
接,,2020年10月28日,3个回答,家里有一女宝宝一岁半，实在太调皮了，叫她不要碰的东西，她便要碰，叫她不去做的事情便要做，打也不怕也不哭，真打，就例如她玩鞋子，鞋架上的鞋子一只只丢的到处都是，打了她说了她。她转眼又去丢，跟听不进一样的
接,,2020年10月25日,0个回答,六点才下班
接,,2020年10月21日,5个回答,前两胎胎停育，这次知道怀孕，五周的时候去抽血，中医院直让住院保胎说雌激素和孕酮太低，找了熟人又去其他医院，让隔天抽血观察翻倍情况，隔天和隔四天查的翻倍都挺好，孕酮也在涨，七周去抽血，孕酮比六周时候还
接,,2020年10月20日,0个回答,
接,,2020年10月19日,0个回答,
接,,2020年10月14日,462个回答,
接,,2020年10月13日,0个回答,睡醒就嘴里哼嗯，感觉很使力的样子，脸都是红色的，母乳喂养，一天一至两次奶粉，24小时左右大便一回，小便每天5-8次，益生菌也在吃
接,,2020年10月07日,0个回答,4岁的儿子今年五月出车祸死了，真的放不下他，想重新怀孕，能不能把他回来。看了很多轮回什么的，前世今生这些，说人死了只是肉体死了，灵魂不死会再换一个躯体回来。特别是美国的好几个案例，投胎回上一世的家族
接,,2020年10月07日,0个回答,
接,接,2020年10月05日,1个回答,
接,,2020年10月04日,0个回答,
接,,2020年10月04日,0个回答,
接,,2020年10月03日,2个回答,
接,,2020年09月30日,0个回答,
接,,2020年09月24日,0个回答,
接,接,2020年09月13日,13个回答,
接,,2020年09月13日,2个回答,
接,,2020年09月13日,889个回答,7月8号刨腹产男孩，两个儿子的感觉也挺不错的
接,,2020年09月12日,2.36万个回答,
接,,2020年09月11日,0个回答,
接,,2020年09月09日,2个回答,
接,,2020年09月08日,1个回答,
接,,2020年09月04日,4个回答,
接,,2020年09月02日,0个回答,不是很哭闹的，哭着哭着有点上气不下气的。好像想哭又哭不出来的那种，请问是怎么回事。发生到现在有两次了，之前一次是在两个多月
接,,2020年08月31日,0个回答,８３８４５６O２
接,,2020年08月31日,0个回答,８３８４５６O２
接,,2020年08月26日,1个回答,
接,,2020年08月25日,1个回答,
接,,2020年08月24日,0个回答,
接,,2020年08月23日,0个回答,
接,,2020年08月23日,8个回答,
接,,2020年08月23日,0个回答,试过不理他，结果人家自己爬起来了，轻拍搂抱都不好使，甚至奶睡他，过一会也醒😒现在每天都要困死了…一直吃d3加补钙
接,,2020年03月08日,1.32万个回答,
接,,2020年08月20日,0个回答,这回吵架两人都动手了，我带孩子回自己家住了一个多月了，他没有电话，也没来，是真想离婚吗？我其实不想离的，就是气头上说了那样的话，我要主动联系他吗？这样他会不会更不拿我当回事？不知道怎么办了 ，好无助
接,,2020年08月15日,0个回答,蹦伦怕肿诿睹杭油蹦伦怕肿诿睹杭油
接,,2020年08月10日,2个回答,24周四维检查出来隔离肺，之后就各种检查各种担心，最感谢的人是芜湖第一人民医院的肖主任，她一直认真负责的帮助我检查，之后的几次复查中没有变大，今天去复查已经完全看不到了，为了这个我不知道哭了多少次，如
接,接,2020年08月05日,1个回答,
接,接,2020年08月05日,0个回答,
接,,2020年08月04日,0个回答,
接,,2020年08月03日,4个回答,
接,,2020年07月31日,6个回答,
接,,2020年07月28日,0个回答,
接,,2020年07月26日,2个回答,肚胀，胀的难受屁也不少，下来两三天肚子会疼，腰有一天特别酸伴随着姨妈感肚子疼特别像例假。尿频明显，从26号开始乳房明显疼痛变软，乳头很敏感。是怀孕前症状吗
接,,2020年07月26日,5个回答,能看出男女吗？
接,,2020年07月22日,0个回答,
接,,2020年07月19日,1个回答,心里不舒服，白天带娃够累了，7点有公交也可以打车，主要下雨又要去市区，视线很不好，为啥非要我来，我跟他说了走不开，我只有等我妈来看娃，才能他，他并没有说不要我过来了，还是宁愿等我慢慢开过去，等了
接,,2018年11月17日,1805个回答,吃了安胎药和补孕酮的，想知道叶酸和润康能不能同时吃
接,,2019年06月20日,200个回答,
接,,2019年01月12日,226个回答,2018年11月13日 阴历十月初六 13点53分 喜得千金 六斤一两 母女平安 顺产 预产期提前一天 
接,,2020年01月15日,317个回答,
接,,2019年05月13日,114个回答,
接,,2019年04月23日,412个回答,
接,,2018年06月24日,16个回答,哪位大神可以帮我看看是男宝还是女宝
接,,2018年09月07日,223个回答,妈妈痛的值，恭喜我吧，宝妈们！
接,,2019年08月21日,716个回答,老听别人说做四维困难，有的甚至一天都做不完，怎么我的不到二十分钟就完事了？是不是大夫看的不仔细？有懂得宝妈吗？还有能在四维彩超上看出男女吗？只是好奇心而已。只要健康男女都好
接,,2020年07月14日,0个回答,
接,,2020年07月13日,0个回答,
接,,2020年07月08日,0个回答,
接,,2020年07月06日,337个回答,
接,,2020年07月06日,0个回答,
接,,2018年08月24日,238个回答,预产期7.7日1号发动，昨天下午已经生了，顺产7斤9母女平安，谁谁中，还以为是男宝呢！数字胎动都像男宝
接,,2020年07月01日,0个回答,宝宝一到洗澡就大哭，上气不下气的那种？哭的都有点窒息。怎么办？现在大热天的，只能用毛巾沾水檫洗
接,接,2020年06月26日,0个回答,种计划里的自费疫苗是不是必须？以前有人很我说只要种免费的疫苗就行。自费的根据家庭情况选择，但我看到有人说计划里的都是强制的。我用的小豆苗
接,,2020年06月26日,0个回答,
接,,2020年06月25日,0个回答,
接,,2020年06月22日,1个回答,清宫后第五天流黄色液体有时还有一些粘液 一点黄色粘液清洗时用手摸出来白色粘液现在是第九天
接,,2020年06月22日,0个回答,
接,,2020年06月20日,1个回答,这11个月宝宝晚上总是醒，醒了吃几口，就着睡，一晚上醒4-5回，这是什么情况呢，吃的也很少，急啊
接,,2020年06月19日,0个回答,
接,,2020年06月18日,0个回答,宝宝脸上结痂，有个坑，会不会留疤，能自己长好吗？需要涂抹什么有用啊
接,,2020年06月18日,1个回答,
接,,2020年06月18日,3个回答,
接,,2020年06月17日,0个回答,浑身使劲，眼睛里流泪，持续二分钟
接,,2020年06月16日,0个回答,已知男女但想翻盘
接,,2020年06月14日,0个回答,
接,,2020年06月14日,1个回答,
接,,2020年06月12日,0个回答,
接,,2020年06月07日,0个回答,第二胎了，谁能知道是小棉袄还是皮夹克
接,,2019年09月21日,410个回答,
接,,2020年06月02日,0个回答,
接,,2020年05月31日,0个回答,
接,,2020年05月30日,0个回答,
接,,2020年05月28日,0个回答,
接,,2020年05月25日,0个回答,
接,,2020年05月24日,0个回答,学校里谈恋爱八年到结婚，现在家里有两个孩子，老大2岁半面临上幼儿园，小的刚刚1岁，公公婆婆年纪都比较大（婆婆62，公公69）现在带2个孩子，但是两个老人身体都不太好。 婆婆还是个“热心肠”，大宝不到一
接,,2019年08月11日,716个回答,
接,,2018年08月09日,7个回答,
接,,2019年09月17日,317个回答,2018年8月16日出生 二宝男孩  儿女双全！
接,,2018年08月24日,4个回答,8月12号中午12点，男宝一枚，六斤半，祝各位孕妈好孕哦😄😄😄
接,,2019年04月19日,182个回答,早上8点45，顺利剖宫产下小公主一枚，如愿了。祝各位宝妈都心想事成
接,,2019年04月10日,101个回答,
接,,2018年10月11日,9个回答,这是小王子还是小公主？
接,,2020年05月19日,2个回答,为什么做了四维彩超，下来两次做彩超医生还会问有没有做四维呢
接,,2020年05月16日,0个回答,今天刚生的喝的奶粉，就是宝宝正睡着呢，然后就哭着醒了就喝奶，还没喝两口又睡着了，反复这样。这种情况各位宝妈知道如何应对吗
接,,2020年05月12日,0个回答,是福不是祸  是祸躲不过，宝贝 对不起，我没能给你找一个疼爱你的爸爸。妈妈以后会保护好你的
接,,2020年05月10日,0个回答,
接,,2020年05月07日,0个回答,
接,,2020年05月05日,3个回答,
接,,2020年05月04日,0个回答,
接,,2020年04月30日,0个回答,
接,,2020年04月27日,0个回答,一次体温分别是:36.5   36.8   37.2  37.1  36.9
接,,2020年04月26日,1个回答,
接,,2020年04月25日,0个回答,
接,,2020年04月25日,0个回答,如何矫正宝宝含姿势
接,,2020年04月22日,0个回答,今天四维顺利通过，很好奇宝宝是男孩女孩，有会看的吗？帮忙看看！
接,,2020年04月21日,0个回答,宝宝吃母乳，图片上的药还能吃不？
接,,2020年04月19日,0个回答,出生第四天出现黄疸，第五天黄疸值脸上增高到23，身上18。这时已经50个小时没拉大便。当天办理住院，不让探视，电话询问也只能没有二四六，照了蓝光第二天黄疸降下来了，医院还没查出病因，检查做了很多。想
接,,2020年04月18日,0个回答,做的阴超还未见胎心萌芽，二胎孕囊1.4*1.0*0.7是男孩还是女孩，有懂得能看下么[郁闷]
接,,2020年04月12日,0个回答,见红后躺床上，肚子不断疼一阵子，
接,,2020年04月08日,0个回答,
接,,2020年04月07日,719个回答,
接,,2020年04月07日,0个回答,
